geneName	h1_T0	h1_T12	h2_T0	h2_T12
ANKDD1A	40	13	36	13
ANKDD1B	4	0	1	1
ANKFN1	13	4	23	5
ANKFY1	1188	1088	713	782
ANKH	322	450	357	632
ANKIB1	1098	1192	807	538
ANKK1	2	0	1	0
ANKLE1	6	0	8	0
ANKMY1	25	33	28	35
ANKMY2	228	210	203	148
ANKRA2	253	119	191	115
ANKRD1	82	529	11	50
ANKRD10	721	488	381	495
ANKRD11	937	809	660	446
ANKRD12	486	351	216	102
ANKRD13A	2172	4009	2458	2681
ANKRD13B	64	32	64	46
ANKRD13C	314	403	232	224
ANKRD13D	149	130	124	174
ANKRD2	6	4	10	8
ANKRD22	1	0	0	0
ANKRD23	31	9	39	13
ANKRD24	8	1	5	2
ANKRD26	143	208	83	33
ANKRD27	135	162	126	167
ANKRD28	1284	746	804	355
ANKRD29	68	69	50	26
ANKRD32	46	82	24	29
ANKRD33	1	0	0	0
ANKRD33B	27	3	8	0
ANKRD34A	9	3	7	4
ANKRD34B	0	0	0	0
ANKRD34C	0	1	0	0
ANKRD35	5	2	10	3
ANKRD39	12	29	16	34
ANKRD40	793	1062	699	861
ANKRD42	157	170	123	135
ANKRD43	0	0	0	0
ANKRD44	52	38	43	18
ANKRD45	0	1	0	0
ANKRD46	95	101	64	68
ANKRD49	117	101	117	82
ANKRD5	24	15	22	20
ANKRD50	660	490	404	242
ANKRD53	11	0	4	3
ANKRD54	114	255	111	253
ANKRD6	50	27	14	7
ANKRD60	0	0	0	0
ANKRD9	0	0	1	7
ANKS1A	225	201	245	161
ANKS1B	36	57	31	29
ANKS3	126	143	120	155
ANKS4B	0	0	0	0
ANKS6	277	336	266	382
ANKUB1	26	29	31	10
ANKZF1	276	163	226	238
ANLN	102	112	54	52
ANO10	310	614	270	668
ANO2	2	5	2	0
ANO3	1	29	37	89
ANO4	88	61	11	10
ANO5	0	0	0	0
ANO6	1589	2209	1424	1286
ANO7	2	5	4	20
ANO8	50	18	33	37
ANO9	0	0	0	0
ANP32A	269	299	259	342
ANP32B	598	748	562	646
ANPEP	2630	8551	2236	5931
ANTXR1	1137	2019	570	1283
ANTXR2	1260	1015	748	316
ANXA1	4569	5149	4189	1300
ANXA10	0	2	0	0
ANXA11	926	863	1109	1066
ANXA13	0	0	0	0
ANXA3	23	4	30	3
ANXA4	806	638	753	657
ANXA5	7946	12130	6701	13522
ANXA7	906	999	866	995
ANXA9	25	5	21	11
AOAH	0	0	0	0
AOC2	18	20	8	12
AOC3	4	5	3	4
AOX1	1617	817	994	332
AP001178.1	0	0	0	0
AP003068.6.1	6	3	3	10
AP1AR	66	69	32	24
AP1B1	237	593	257	548
AP1G1	862	1530	678	1062
AP1G2	518	140	486	109
AP1M1	190	303	259	378
