geneName	h1_P	h2_P	h1_T12	h2_T12
ALDH1L2	3308	2812	2182	1109
ALDH3A1	7	1	10	32
ALDH3A2	95	142	101	76
ALDH3B2	4	3	7	3
ALDH4A1	45	38	41	54
ALDH5A1	6	5	7	1
ALDH6A1	74	59	78	60
ALDH8A1	5	3	0	0
ALDH9A1	480	490	507	494
ALDOA	988	1359	1407	2941
ALDOB	0	0	0	0
ALDOC	32	136	47	242
ALG12	75	77	95	135
ALG14	65	67	59	68
ALG2	24	26	41	40
ALG5	197	229	260	283
ALG6	46	68	64	27
ALG8	204	226	274	275
ALG9	149	171	150	156
ALK	3	2	1	1
ALKBH1	58	72	65	84
ALKBH2	43	71	69	110
ALKBH3	102	123	124	161
ALKBH4	51	74	69	114
ALKBH5	806	983	1047	1702
ALKBH6	38	50	30	37
ALKBH7	39	38	44	83
ALKBH8	218	197	296	130
ALLC	0	0	0	0
ALMS1	153	121	186	62
ALOX12	14	18	8	7
ALOX12B	0	0	0	0
ALOX15	0	0	0	0
ALOX15B	0	0	1	0
ALOX5	0	0	0	0
ALOX5AP	0	1	2	1
ALOXE3	2	8	0	0
ALPK1	106	117	63	52
ALPK2	625	271	1455	371
ALPK3	8	7	3	1
ALPL	21	0	16	2
ALS2CL	81	157	81	30
ALS2CR11	0	4	4	2
ALS2CR12	5	12	4	2
ALS2CR8	73	64	45	21
ALX1	2	0	1	0
ALX3	9	7	8	6
ALX4	0	2	0	1
ALYREF	240	291	428	608
AMBN	0	0	0	0
AMBP	1	2	1	6
AMBRA1	184	185	181	185
AMD1	482	812	1234	782
AMDHD1	0	0	0	0
AMELX	0	0	0	0
AMFR	767	668	878	793
AMHR2	0	0	0	0
AMICA1	0	0	0	0
AMIGO1	26	18	23	4
AMIGO2	832	769	782	600
AMIGO3	0	0	0	0
AMMECR1	12	14	18	8
AMMECR1L	578	605	627	600
AMN1	21	34	36	16
AMOT	28	22	15	9
AMOTL1	1878	1913	1908	1782
AMOTL2	3631	3708	4361	2772
AMPD1	0	0	0	0
AMPD2	752	770	1099	1385
AMPD3	154	111	356	256
AMPH	85	49	41	33
AMT	13	23	15	8
AMTN	0	0	0	0
AMZ1	16	14	29	30
AMZ2	103	72	102	119
ANAPC1	7	2	6	6
ANAPC10	27	47	45	25
ANAPC11	81	77	111	176
ANAPC13	332	502	519	371
ANAPC16	278	300	314	356
ANAPC2	192	258	252	278
ANAPC4	170	242	185	104
ANGEL1	79	69	98	66
ANGEL2	133	149	134	88
ANGPT1	254	323	259	171
ANGPT2	3	8	2	1
ANGPT4	4	0	1	0
ANGPTL1	18	4	30	2
ANGPTL2	988	939	151	214
ANGPTL4	75	47	366	261
ANGPTL5	3	1	8	1
ANGPTL7	0	0	0	0
ANK1	99	10	77	6
ANK2	365	148	149	90
ANK3	1	2	0	1
ANKAR	26	28	21	12
ANKDD1A	29	23	13	13
ANKDD1B	5	3	0	1
ANKFN1	2	5	4	5
ANKFY1	833	823	1088	782
ANKH	850	1658	450	632
ANKIB1	1029	919	1192	538
ANKK1	0	0	0	0
ANKLE1	4	4	0	0
ANKMY1	32	42	33	35
ANKMY2	180	229	210	148
ANKRA2	159	154	119	115
ANKRD1	584	48	529	50
ANKRD10	579	521	488	495
ANKRD11	1049	899	809	446
ANKRD12	475	381	351	102
ANKRD13A	2341	2414	4009	2681
ANKRD13B	25	47	32	46
ANKRD13C	419	431	403	224
ANKRD13D	146	204	130	174
ANKRD2	2	8	4	8
ANKRD22	0	0	0	0
ANKRD23	11	32	9	13
ANKRD24	1	3	1	2
ANKRD26	117	105	208	33
ANKRD27	124	150	162	167
ANKRD28	1064	788	746	355
ANKRD29	46	13	69	26
ANKRD32	53	93	82	29
ANKRD33	0	0	0	0
ANKRD33B	4	0	3	0
ANKRD34A	3	5	3	4
ANKRD34B	0	0	0	0
ANKRD34C	0	0	1	0
ANKRD35	5	6	2	3
ANKRD39	11	14	29	34
ANKRD40	857	920	1062	861
ANKRD42	120	126	170	135
ANKRD43	0	0	0	0
ANKRD44	69	61	38	18
ANKRD45	0	0	1	0
ANKRD46	79	65	101	68
ANKRD49	102	114	101	82
ANKRD5	20	24	15	20
ANKRD50	771	598	490	242
ANKRD53	4	4	0	3
ANKRD54	119	131	255	253
ANKRD6	17	21	27	7
ANKRD60	0	0	0	0
ANKRD9	0	6	0	7
ANKS1A	174	188	201	161
ANKS1B	48	45	57	29
ANKS3	70	91	143	155
ANKS4B	0	0	0	0
ANKS6	234	289	336	382
ANKUB1	21	39	29	10
ANKZF1	198	260	163	238
ANLN	331	844	112	52
ANO10	491	574	614	668
ANO2	0	2	5	0
ANO3	18	122	29	89
ANO4	89	27	61	10
ANO5	0	0	0	0
ANO6	2271	1633	2209	1286
ANO7	6	3	5	20
ANO8	67	101	18	37
ANO9	0	0	0	0
ANP32A	368	387	299	342
ANP32B	807	946	748	646
ANPEP	6967	8623	8551	5931
ANTXR1	2390	2068	2019	1283
